dataset,split_strategy,model,similarity_bin,n,mean_similarity,mae,rmse,empirical_coverage
esol,random,edge_gnn,"(0.0,0.2]",19,0.17535615597608797,0.764119971276472,1.016690711435556,0.7894736842105263
esol,random,edge_gnn,"(0.2,0.4]",227,0.31779039627963845,0.6578327312911405,0.832457068955676,0.8370044052863436
esol,random,edge_gnn,"(0.4,0.6]",428,0.5047813430638888,0.45410539772820435,0.6209824970220194,0.9462616822429907
esol,random,edge_gnn,"(0.6,0.8]",318,0.6820306107523646,0.44914325716605863,0.6008301587192427,0.9213836477987422
esol,random,edge_gnn,"(0.8,1.0]",118,0.92567416541852,0.5088100926397533,0.6714113212937337,0.923728813559322
esol,random,hybrid_concat,"(0.0,0.2]",19,0.17535615597608797,0.7117225463486747,0.8447070330123704,0.631578947368421
esol,random,hybrid_concat,"(0.2,0.4]",227,0.31779039627963845,0.5120038240475382,0.7055341510314513,0.8722466960352423
esol,random,hybrid_concat,"(0.4,0.6]",428,0.5047813430638888,0.39811353907143165,0.5621662303679796,0.9322429906542056
esol,random,hybrid_concat,"(0.6,0.8]",318,0.6820306107523646,0.36111313058245126,0.4964730009733985,0.9308176100628931
esol,random,hybrid_concat,"(0.8,1.0]",118,0.92567416541852,0.3478568053042464,0.49325426137338774,0.923728813559322
esol,random,hybrid_gated,"(0.0,0.2]",19,0.17535615597608797,0.6923489547243691,0.8420051241049334,0.6842105263157895
esol,random,hybrid_gated,"(0.2,0.4]",227,0.31779039627963845,0.5139215996417023,0.6836180691739359,0.8898678414096917
esol,random,hybrid_gated,"(0.4,0.6]",428,0.5047813430638888,0.39663216950336255,0.5656677492039496,0.9299065420560748
esol,random,hybrid_gated,"(0.6,0.8]",318,0.6820306107523646,0.3579216066482535,0.47814188015746484,0.949685534591195
esol,random,hybrid_gated,"(0.8,1.0]",118,0.92567416541852,0.3654244685204859,0.5135973041140813,0.923728813559322
esol,random,mean_baseline,"(0.0,0.2]",19,0.17535615597608797,1.7105803840578921,2.0913065366271253,0.9473684210526315
esol,random,mean_baseline,"(0.2,0.4]",227,0.31779039627963845,1.6135031399841997,1.9790518396831893,0.9427312775330396
esol,random,mean_baseline,"(0.4,0.6]",428,0.5047813430638888,1.6175808321267455,1.994881561748603,0.9369158878504673
esol,random,mean_baseline,"(0.6,0.8]",318,0.6820306107523646,1.6635883200864112,2.104457681132997,0.9088050314465409
esol,random,mean_baseline,"(0.8,1.0]",118,0.92567416541852,1.6788785704191342,2.222804079859939,0.8983050847457628
esol,random,node_gnn,"(0.0,0.2]",19,0.17535615597608797,0.9945886283487584,1.192615272321545,0.6842105263157895
esol,random,node_gnn,"(0.2,0.4]",227,0.31779039627963845,0.7136128302460385,0.9077424573835338,0.7973568281938326
esol,random,node_gnn,"(0.4,0.6]",428,0.5047813430638888,0.4717196148380116,0.6343629223223033,0.9299065420560748
esol,random,node_gnn,"(0.6,0.8]",318,0.6820306107523646,0.45567835865999234,0.6088192649021082,0.9433962264150944
esol,random,node_gnn,"(0.8,1.0]",118,0.92567416541852,0.5025011943266474,0.6774955891697162,0.940677966101695
esol,random,rf_rdkit,"(0.0,0.2]",19,0.17535615597608797,0.8099196020994143,0.9676237303098194,0.6842105263157895
esol,random,rf_rdkit,"(0.2,0.4]",227,0.31779039627963845,0.6239234147713342,0.7963355992410046,0.8678414096916299
esol,random,rf_rdkit,"(0.4,0.6]",428,0.5047813430638888,0.46057276394696073,0.64297709151323,0.9088785046728972
esol,random,rf_rdkit,"(0.6,0.8]",318,0.6820306107523646,0.38700986512206864,0.5200591857895466,0.9559748427672956
esol,random,rf_rdkit,"(0.8,1.0]",118,0.92567416541852,0.4279505468328821,0.6027909630995533,0.923728813559322
esol,random,rf_rdkit_morgan,"(0.0,0.2]",19,0.17535615597608797,0.8261318089652219,0.9962067376695575,0.7894736842105263
esol,random,rf_rdkit_morgan,"(0.2,0.4]",227,0.31779039627963845,0.6823491495978661,0.8651149959689346,0.8546255506607929
esol,random,rf_rdkit_morgan,"(0.4,0.6]",428,0.5047813430638888,0.48908521150565193,0.6944946060115527,0.8995327102803738
esol,random,rf_rdkit_morgan,"(0.6,0.8]",318,0.6820306107523646,0.420900257008795,0.5554915213279406,0.949685534591195
esol,random,rf_rdkit_morgan,"(0.8,1.0]",118,0.92567416541852,0.43255044395091463,0.6072860974786657,0.9322033898305084
esol,random,xgb_rdkit_morgan,"(0.0,0.2]",19,0.17535615597608797,0.7219161519768731,0.8119746213393597,0.7894736842105263
esol,random,xgb_rdkit_morgan,"(0.2,0.4]",227,0.31779039627963845,0.5519202159539635,0.7309292756810578,0.8502202643171806
esol,random,xgb_rdkit_morgan,"(0.4,0.6]",428,0.5047813430638888,0.42196397889383114,0.5995033106080726,0.9228971962616822
esol,random,xgb_rdkit_morgan,"(0.6,0.8]",318,0.6820306107523646,0.35125093882847985,0.4793421081689933,0.9528301886792453
esol,random,xgb_rdkit_morgan,"(0.8,1.0]",118,0.92567416541852,0.3661147639203652,0.5079144209644834,0.9152542372881356
esol,scaffold,edge_gnn,"(0.0,0.2]",142,0.17373746989256714,0.8925474858797547,1.1293581375326855,0.8943661971830986
esol,scaffold,edge_gnn,"(0.2,0.4]",598,0.3031366793852631,0.9939534171168614,1.2497842985782248,0.8595317725752508
esol,scaffold,edge_gnn,"(0.4,0.6]",292,0.4798828912073811,0.8922067317470858,1.1673533225462673,0.9041095890410958
esol,scaffold,edge_gnn,"(0.6,0.8]",41,0.6889350051254206,0.5326829819222504,0.6420305481561844,1.0
esol,scaffold,edge_gnn,"(0.8,1.0]",37,0.9393742341110762,0.8156303332421188,0.9922000292600454,0.9459459459459459
esol,scaffold,hybrid_concat,"(0.0,0.2]",142,0.17373746989256714,0.6462025647090085,0.8023360347418724,0.9507042253521126
esol,scaffold,hybrid_concat,"(0.2,0.4]",598,0.3031366793852631,0.7262939460655214,0.921781568040314,0.8862876254180602
esol,scaffold,hybrid_concat,"(0.4,0.6]",292,0.4798828912073811,0.6564144286827155,0.8409358524505188,0.9246575342465754
esol,scaffold,hybrid_concat,"(0.6,0.8]",41,0.6889350051254206,0.4211131455607584,0.5470380500635855,0.975609756097561
esol,scaffold,hybrid_concat,"(0.8,1.0]",37,0.9393742341110762,0.4395312393251027,0.6068284419637735,0.972972972972973
