dataset,property,units,split_strategy,seed,model,family,features,fusion,best_epoch,train_seconds,n_parameters,git_commit,conformal_alpha,conformal_radius,partition,n,rmse,mae,r2,empirical_coverage,mean_interval_width
esol,aqueous_solubility,log10(mol/L),random,2026,mean_baseline,mean,none,none,0,9.126000009018751e-06,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,2.996670071421492,train,782,2.199343878886708,1.7483523080653234,0.0,0.8248081841432225,5.993340142842983
esol,aqueous_solubility,log10(mol/L),random,2026,mean_baseline,mean,none,none,0,9.126000009018751e-06,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,2.996670071421492,validation,112,1.7805827341973652,1.37687233991907,-0.0055954896836509,0.9107142857142856,5.993340142842983
esol,aqueous_solubility,log10(mol/L),random,2026,mean_baseline,mean,none,none,0,9.126000009018751e-06,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,2.996670071421492,calibration,112,1.892869032740672,1.4971342949344033,-0.0008455514623717,0.9196428571428572,5.993340142842983
esol,aqueous_solubility,log10(mol/L),random,2026,mean_baseline,mean,none,none,0,9.126000009018751e-06,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,2.996670071421492,test,111,1.807839522996021,1.4893245980758467,-0.0098889859385309,0.8918918918918919,5.993340142842983
esol,aqueous_solubility,log10(mol/L),random,2026,rf_rdkit,random_forest,rdkit,none,0,1.1850604329999896,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.8470379226207734,train,782,0.247556369805025,0.1805365463961007,0.9873304283098806,0.9923273657289002,1.6940758452415468
esol,aqueous_solubility,log10(mol/L),random,2026,rf_rdkit,random_forest,rdkit,none,0,1.1850604329999896,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.8470379226207734,validation,112,0.6251387092256925,0.4517087131514812,0.8760485006435286,0.8928571428571429,1.6940758452415468
esol,aqueous_solubility,log10(mol/L),random,2026,rf_rdkit,random_forest,rdkit,none,0,1.1850604329999896,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.8470379226207734,calibration,112,0.5053806998629317,0.3950948835949275,0.9286550503717436,0.9196428571428572,1.6940758452415468
esol,aqueous_solubility,log10(mol/L),random,2026,rf_rdkit,random_forest,rdkit,none,0,1.1850604329999896,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.8470379226207734,test,111,0.7102055141276581,0.4818672878576431,0.8441445612403564,0.8648648648648649,1.6940758452415468
esol,aqueous_solubility,log10(mol/L),random,2026,rf_rdkit_morgan,random_forest,rdkit+morgan,none,0,1.3779030350000312,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9644840133748898,train,782,0.267840051066514,0.1972055721633761,0.9851691937782812,0.9923273657289002,1.9289680267497795
esol,aqueous_solubility,log10(mol/L),random,2026,rf_rdkit_morgan,random_forest,rdkit+morgan,none,0,1.3779030350000312,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9644840133748898,validation,112,0.6626812008000232,0.4667608829439018,0.8607137319981912,0.9107142857142856,1.9289680267497795
esol,aqueous_solubility,log10(mol/L),random,2026,rf_rdkit_morgan,random_forest,rdkit+morgan,none,0,1.3779030350000312,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9644840133748898,calibration,112,0.551124342271392,0.4386965589824996,0.9151552219826864,0.9196428571428572,1.9289680267497795
esol,aqueous_solubility,log10(mol/L),random,2026,rf_rdkit_morgan,random_forest,rdkit+morgan,none,0,1.3779030350000312,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9644840133748898,test,111,0.7298808957903175,0.4990796456967927,0.835389370746495,0.8738738738738738,1.9289680267497795
esol,aqueous_solubility,log10(mol/L),random,2026,xgb_rdkit_morgan,xgboost,rdkit+morgan,none,0,4.870079423999982,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9924763412009608,train,782,0.0819823703255669,0.0602372047613596,0.9986105124373166,1.0,1.9849526824019208
esol,aqueous_solubility,log10(mol/L),random,2026,xgb_rdkit_morgan,xgboost,rdkit+morgan,none,0,4.870079423999982,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9924763412009608,validation,112,0.5923484633030112,0.4255741745312272,0.8887106685775717,0.9285714285714286,1.9849526824019208
esol,aqueous_solubility,log10(mol/L),random,2026,xgb_rdkit_morgan,xgboost,rdkit+morgan,none,0,4.870079423999982,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9924763412009608,calibration,112,0.5455478800062507,0.4022140008315496,0.9168635117590074,0.9196428571428572,1.9849526824019208
esol,aqueous_solubility,log10(mol/L),random,2026,xgb_rdkit_morgan,xgboost,rdkit+morgan,none,0,4.870079423999982,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9924763412009608,test,111,0.694629160026562,0.4786809468680313,0.8509060901898657,0.8828828828828829,1.9849526824019208
esol,aqueous_solubility,log10(mol/L),random,2026,node_gnn,node_gnn,none,none,73,16.561772201000053,255365,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0790506865424878,train,782,0.4254274865626061,0.3202340181222038,0.962583357530703,0.9782608695652174,2.158101373084976
esol,aqueous_solubility,log10(mol/L),random,2026,node_gnn,node_gnn,none,none,73,16.561772201000053,255365,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0790506865424878,validation,112,0.6998109403580509,0.5167162639160385,0.8446681708472117,0.8928571428571429,2.158101373084976
esol,aqueous_solubility,log10(mol/L),random,2026,node_gnn,node_gnn,none,none,73,16.561772201000053,255365,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0790506865424878,calibration,112,0.6092395407623367,0.4729374599932573,0.8963183034798888,0.9196428571428572,2.158101373084976
esol,aqueous_solubility,log10(mol/L),random,2026,node_gnn,node_gnn,none,none,73,16.561772201000053,255365,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0790506865424878,test,111,0.7064190761235682,0.5110566195995819,0.8458020077022406,0.8738738738738738,2.158101373084976
esol,aqueous_solubility,log10(mol/L),random,2026,edge_gnn,edge_gnn,none,none,80,17.387695215999997,261125,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0860121248107175,train,782,0.4140554064866664,0.312242407105294,0.9645569863667602,0.983375959079284,2.172024249621435
esol,aqueous_solubility,log10(mol/L),random,2026,edge_gnn,edge_gnn,none,none,80,17.387695215999997,261125,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0860121248107175,validation,112,0.6668565672529013,0.4760395889657393,0.8589529958621653,0.9285714285714286,2.172024249621435
esol,aqueous_solubility,log10(mol/L),random,2026,edge_gnn,edge_gnn,none,none,80,17.387695215999997,261125,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0860121248107175,calibration,112,0.6280509790823482,0.4770551317888881,0.8898167128782272,0.9196428571428572,2.172024249621435
esol,aqueous_solubility,log10(mol/L),random,2026,edge_gnn,edge_gnn,none,none,80,17.387695215999997,261125,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0860121248107175,test,111,0.7394566393540564,0.5401020847648771,0.8310417869385343,0.8648648648648649,2.172024249621435
esol,aqueous_solubility,log10(mol/L),random,2026,hybrid_concat,edge_gnn,rdkit,concat,19,8.158096797999974,315013,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9929270961451002,train,782,0.2854758084566213,0.2164643513589063,0.983151845154252,0.9923273657289002,1.9858541922902004
esol,aqueous_solubility,log10(mol/L),random,2026,hybrid_concat,edge_gnn,rdkit,concat,19,8.158096797999974,315013,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9929270961451002,validation,112,0.5809126946111951,0.4116833737149304,0.8929662514926061,0.9017857142857144,1.9858541922902004
esol,aqueous_solubility,log10(mol/L),random,2026,hybrid_concat,edge_gnn,rdkit,concat,19,8.158096797999974,315013,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9929270961451002,calibration,112,0.6005949775345658,0.416561535832717,0.8992397299315726,0.9196428571428572,1.9858541922902004
esol,aqueous_solubility,log10(mol/L),random,2026,hybrid_concat,edge_gnn,rdkit,concat,19,8.158096797999974,315013,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,0.9929270961451002,test,111,0.6684549945023494,0.4224763351212864,0.8619303488922995,0.9369369369369368,1.9858541922902004
esol,aqueous_solubility,log10(mol/L),random,2026,hybrid_gated,edge_gnn,rdkit,gated,19,8.29098116199998,331525,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0050994301324645,train,782,0.2827349289987634,0.2104043628387913,0.9834738134394287,0.99616368286445,2.010198860264929
esol,aqueous_solubility,log10(mol/L),random,2026,hybrid_gated,edge_gnn,rdkit,gated,19,8.29098116199998,331525,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0050994301324645,validation,112,0.6078679927511955,0.4353211356141792,0.8828027142743359,0.9017857142857144,2.010198860264929
esol,aqueous_solubility,log10(mol/L),random,2026,hybrid_gated,edge_gnn,rdkit,gated,19,8.29098116199998,331525,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0050994301324645,calibration,112,0.5608707394732336,0.4115067463261548,0.9121278003938654,0.9196428571428572,2.010198860264929
esol,aqueous_solubility,log10(mol/L),random,2026,hybrid_gated,edge_gnn,rdkit,gated,19,8.29098116199998,331525,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0050994301324645,test,111,0.6672985628756721,0.4386463952556542,0.8624076585065152,0.90990990990991,2.010198860264929
esol,aqueous_solubility,log10(mol/L),random,2027,mean_baseline,mean,none,none,0,1.210300001730502e-05,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,3.4555995149866625,train,782,2.081780550407034,1.6426299451563828,0.0,0.8938618925831202,6.911199029973325
esol,aqueous_solubility,log10(mol/L),random,2027,mean_baseline,mean,none,none,0,1.210300001730502e-05,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,3.4555995149866625,validation,112,2.111449520481654,1.693701839027535,-0.0326083979954048,0.8928571428571429,6.911199029973325
esol,aqueous_solubility,log10(mol/L),random,2027,mean_baseline,mean,none,none,0,1.210300001730502e-05,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,3.4555995149866625,calibration,112,1.995879885804348,1.5601642789796557,-0.0078747938671015,0.9196428571428572,6.911199029973325
esol,aqueous_solubility,log10(mol/L),random,2027,mean_baseline,mean,none,none,0,1.210300001730502e-05,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,3.4555995149866625,test,111,2.258211317177885,1.818553089582232,-0.0258025611421821,0.8648648648648649,6.911199029973325
esol,aqueous_solubility,log10(mol/L),random,2027,rf_rdkit,random_forest,rdkit,none,0,1.2356184989999974,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0746139817237914,train,782,0.238424031041531,0.1734275052158731,0.9868831316631296,0.9974424552429668,2.149227963447583
esol,aqueous_solubility,log10(mol/L),random,2027,rf_rdkit,random_forest,rdkit,none,0,1.2356184989999974,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.0746139817237914,validation,112,0.7249776521359056,0.5160972027750692,0.8782627503912062,0.8928571428571429,2.149227963447583
