dataset,split_strategy,model,rmse_mean,rmse_std,rmse_count,mae_mean,mae_std,mae_count,r2_mean,r2_std,r2_count
esol,random,edge_gnn,0.6867619778291726,0.08544928687594136,10,0.5132086371994881,0.05733565373101822,10,0.8838820866144681,0.025627528316378555,10
esol,random,hybrid_concat,0.5917637640814177,0.05623845538849402,10,0.4230421636366315,0.039103611352830824,10,0.9124132667570809,0.02435428119834423,10
esol,random,hybrid_gated,0.5894102503801933,0.0617832934090315,10,0.418772476448931,0.04257913804005063,10,0.912838478325658,0.0257586199956876,10
esol,random,mean_baseline,2.044245122878871,0.16790754683931292,10,1.6380356696582854,0.1445335516041932,10,-0.01408232604288645,0.017080559862127028,10
esol,random,node_gnn,0.7050320331241899,0.08328188705194424,10,0.5328457694238085,0.053836971986859376,10,0.8772562796612144,0.027832892037113793,10
esol,random,rf_rdkit,0.6455744895625928,0.06925752272070425,10,0.4753778702547189,0.04602907756567864,10,0.897522230053671,0.021684683339528787,10
esol,random,rf_rdkit_morgan,0.6911236811470993,0.08287071404498202,10,0.5087932121837596,0.05560949235481366,10,0.883130350372805,0.022346283780572646,10
esol,random,xgb_rdkit_morgan,0.5894644705560077,0.07267995088494322,10,0.4274280121987548,0.04450663052172909,10,0.9138645830907912,0.024416420298834535,10
esol,scaffold,edge_gnn,1.2161948433884269,0.11140670194080725,10,0.9561338822016842,0.09069320859905032,10,0.6681867355022216,0.0470240327819124,10
esol,scaffold,hybrid_concat,0.9166962205464271,0.09929515816002665,10,0.7163370235583092,0.08299662107809405,10,0.8091575354937472,0.04427173298237686,10
esol,scaffold,hybrid_gated,0.8851752772777435,0.11580010190032229,10,0.6921211124696521,0.08616891009038853,10,0.8217714023027568,0.045718863612950224,10
esol,scaffold,mean_baseline,2.3218520965176177,0.18640664289016665,10,1.8534400452952533,0.1457703737951777,10,-0.20358132523060726,0.10431454476163345,10
esol,scaffold,node_gnn,1.2427080874107799,0.07221275742608106,10,0.9736108471906348,0.0693422656276236,10,0.652661586509045,0.044749460201208804,10
esol,scaffold,rf_rdkit,0.9928931826431961,0.11601296880054118,10,0.7552296360264357,0.07515469135956433,10,0.7793741098009442,0.03625539271331625,10
esol,scaffold,rf_rdkit_morgan,1.1463762357242986,0.12200225278994135,10,0.8732826823244361,0.08315998219872422,10,0.7056989947820631,0.04509118579421925,10
esol,scaffold,xgb_rdkit_morgan,0.8913140617179343,0.09961082614333566,10,0.6781351488214127,0.0638277633926685,10,0.8211629604549217,0.035436857032540604,10
freesolv,random,edge_gnn,1.3308651816162285,0.3389263688318525,10,0.8658738648874026,0.1709617765161094,10,0.8726577099843146,0.07359756916123947,10
freesolv,random,hybrid_concat,1.0936410881732581,0.170724541662988,10,0.7290326083578822,0.10478660037477706,10,0.9159037330469045,0.030073116698476364,10
freesolv,random,hybrid_gated,1.11992888338543,0.20463725133185912,10,0.6926004565941779,0.1020683132982414,10,0.9110201585191264,0.03594696728004617,10
freesolv,random,mean_baseline,3.8953135727082198,0.5092851511990832,10,2.935159377729727,0.2792352478227329,10,-0.02507877039066881,0.02747790235697221,10
freesolv,random,node_gnn,1.392347209446569,0.3149367598983388,10,0.8956265054117736,0.17084618288207953,10,0.8648710223458324,0.04908595804111106,10
freesolv,random,rf_rdkit,1.3190983963788232,0.34807442111553993,10,0.788259980850764,0.1335527566381121,10,0.8818018782833835,0.04005742897799172,10
freesolv,random,rf_rdkit_morgan,1.5421150956716132,0.3493466739252219,10,0.935353425696386,0.1401935890461885,10,0.8386374271430201,0.042717728360771964,10
freesolv,random,xgb_rdkit_morgan,1.151585790033222,0.3463927609557712,10,0.6550979514978037,0.12417869486477359,10,0.9067623307512674,0.04404357509586546,10
