dataset,split_strategy,metric,model_a,model_b,n_pairs,mean_delta,median_delta,statistic,p_value,p_holm
esol,random,rmse,edge_gnn,hybrid_concat,10,0.09499821374775495,0.10458770494650238,2.0,0.005859375,0.076171875
esol,random,rmse,edge_gnn,hybrid_gated,10,0.09735172744897921,0.0900921106837646,3.0,0.009765625,0.107421875
esol,random,rmse,edge_gnn,mean_baseline,10,-1.3574831450496985,-1.3987768048387614,0.0,0.001953125,0.0546875
esol,random,rmse,edge_gnn,node_gnn,10,-0.01827005529501724,-0.016650347905212082,20.0,0.4921875,1.0
esol,random,rmse,edge_gnn,rf_rdkit,10,0.04118748826657981,0.012938896609733685,8.0,0.048828125,0.390625
esol,random,rmse,edge_gnn,rf_rdkit_morgan,10,-0.004361703317926691,-0.010107407232480714,21.0,0.556640625,1.0
esol,random,rmse,edge_gnn,xgb_rdkit_morgan,10,0.09729750727316483,0.07308917098253515,0.0,0.001953125,0.0546875
esol,random,rmse,hybrid_concat,hybrid_gated,10,0.0023535137012242633,0.007319873103487529,26.0,0.921875,1.0
esol,random,rmse,hybrid_concat,mean_baseline,10,-1.4524813587974537,-1.5294275341217656,0.0,0.001953125,0.0546875
esol,random,rmse,hybrid_concat,node_gnn,10,-0.11326826904277221,-0.10849031625728617,0.0,0.001953125,0.0546875
esol,random,rmse,hybrid_concat,rf_rdkit,10,-0.053810725481175145,-0.031060354439341187,5.0,0.01953125,0.17578125
esol,random,rmse,hybrid_concat,rf_rdkit_morgan,10,-0.09935991706568165,-0.07838367441679672,1.0,0.00390625,0.0625
esol,random,rmse,hybrid_concat,xgb_rdkit_morgan,10,0.002299293525409879,0.016685271686890435,25.0,0.845703125,1.0
esol,random,rmse,hybrid_gated,mean_baseline,10,-1.4548348724986782,-1.5406261741406369,0.0,0.001953125,0.0546875
esol,random,rmse,hybrid_gated,node_gnn,10,-0.11562178274399645,-0.11561260568295018,0.0,0.001953125,0.0546875
esol,random,rmse,hybrid_gated,rf_rdkit,10,-0.05616423918239941,-0.06271696094169321,3.0,0.009765625,0.107421875
esol,random,rmse,hybrid_gated,rf_rdkit_morgan,10,-0.10171343076690591,-0.12252643079256598,1.0,0.00390625,0.0625
esol,random,rmse,hybrid_gated,xgb_rdkit_morgan,10,-5.422017581438454e-05,-0.014605408561449595,27.0,1.0,1.0
esol,random,rmse,mean_baseline,node_gnn,10,1.3392130897546815,1.3867917044685825,0.0,0.001953125,0.0546875
esol,random,rmse,mean_baseline,rf_rdkit,10,1.3986706333162784,1.4626226676179883,0.0,0.001953125,0.0546875
esol,random,rmse,mean_baseline,rf_rdkit_morgan,10,1.353121441731772,1.4019252709292824,0.0,0.001953125,0.0546875
esol,random,rmse,mean_baseline,xgb_rdkit_morgan,10,1.4547806523228637,1.5049953121591746,0.0,0.001953125,0.0546875
esol,random,rmse,node_gnn,rf_rdkit,10,0.05945754356159705,0.050973358643775224,9.0,0.064453125,0.451171875
esol,random,rmse,node_gnn,rf_rdkit_morgan,10,0.01390835197709055,0.009573330844807493,24.0,0.76953125,1.0
esol,random,rmse,node_gnn,xgb_rdkit_morgan,10,0.11556756256818208,0.10023635169532213,1.0,0.00390625,0.0625
esol,random,rmse,rf_rdkit,rf_rdkit_morgan,10,-0.0455491915845065,-0.04432401194625635,0.0,0.001953125,0.0546875
esol,random,rmse,rf_rdkit,xgb_rdkit_morgan,10,0.056110019006585035,0.061033251894224816,2.0,0.005859375,0.076171875
esol,random,rmse,rf_rdkit_morgan,xgb_rdkit_morgan,10,0.10165921059109154,0.10012488306655692,0.0,0.001953125,0.0546875
esol,random,mae,edge_gnn,hybrid_concat,10,0.09016647356285648,0.0973250892669364,0.0,0.001953125,0.0546875
esol,random,mae,edge_gnn,hybrid_gated,10,0.094436160750557,0.10470573166847702,2.0,0.005859375,0.0546875
esol,random,mae,edge_gnn,mean_baseline,10,-1.1248270324587974,-1.1556207547864923,0.0,0.001953125,0.0546875
esol,random,mae,edge_gnn,node_gnn,10,-0.0196371322243205,-0.017878514580209365,19.0,0.431640625,1.0
esol,random,mae,edge_gnn,rf_rdkit,10,0.037830766944769126,0.03996683339080659,1.0,0.00390625,0.0546875
esol,random,mae,edge_gnn,rf_rdkit_morgan,10,0.004415425015728331,0.010304588178390417,24.0,0.76953125,1.0
esol,random,mae,edge_gnn,xgb_rdkit_morgan,10,0.08578062500073314,0.09532324278436385,0.0,0.001953125,0.0546875
esol,random,mae,hybrid_concat,hybrid_gated,10,0.004269687187700511,0.006351112509674239,24.0,0.76953125,1.0
esol,random,mae,hybrid_concat,mean_baseline,10,-1.2149935060216541,-1.2147622473546484,0.0,0.001953125,0.0546875
esol,random,mae,hybrid_concat,node_gnn,10,-0.10980360578717699,-0.11117593405143361,0.0,0.001953125,0.0546875
esol,random,mae,hybrid_concat,rf_rdkit,10,-0.05233570661808736,-0.04438476988448259,1.0,0.00390625,0.0546875
esol,random,mae,hybrid_concat,rf_rdkit_morgan,10,-0.08575104854712816,-0.07296078259198521,0.0,0.001953125,0.0546875
esol,random,mae,hybrid_concat,xgb_rdkit_morgan,10,-0.004385848562123346,0.005728388837596993,26.0,0.921875,1.0
esol,random,mae,hybrid_gated,mean_baseline,10,-1.2192631932093545,-1.2548645517281654,0.0,0.001953125,0.0546875
esol,random,mae,hybrid_gated,node_gnn,10,-0.11407329297487752,-0.10635482689294612,0.0,0.001953125,0.0546875
esol,random,mae,hybrid_gated,rf_rdkit,10,-0.05660539380578787,-0.07707637553689409,2.0,0.005859375,0.0546875
esol,random,mae,hybrid_gated,rf_rdkit_morgan,10,-0.09002073573482867,-0.10591135107211164,1.0,0.00390625,0.0546875
esol,random,mae,hybrid_gated,xgb_rdkit_morgan,10,-0.008655535749823856,-0.021162252444662133,20.0,0.4921875,1.0
esol,random,mae,mean_baseline,node_gnn,10,1.105189900234477,1.10499623114066,0.0,0.001953125,0.0546875
esol,random,mae,mean_baseline,rf_rdkit,10,1.162657799403567,1.1914624672072938,0.0,0.001953125,0.0546875
esol,random,mae,mean_baseline,rf_rdkit_morgan,10,1.129242457474526,1.1542906786412437,0.0,0.001953125,0.0546875
esol,random,mae,mean_baseline,xgb_rdkit_morgan,10,1.2106076574595306,1.2234692499526036,0.0,0.001953125,0.0546875
esol,random,mae,node_gnn,rf_rdkit,10,0.05746789916908964,0.06214367660322806,3.0,0.009765625,0.068359375
esol,random,mae,node_gnn,rf_rdkit_morgan,10,0.024052557240048834,0.026186648186395628,16.0,0.275390625,1.0
esol,random,mae,node_gnn,xgb_rdkit_morgan,10,0.10541775722505364,0.10538445689634329,0.0,0.001953125,0.0546875
esol,random,mae,rf_rdkit,rf_rdkit_morgan,10,-0.0334153419290408,-0.03987257336454281,0.0,0.001953125,0.0546875
esol,random,mae,rf_rdkit,xgb_rdkit_morgan,10,0.047949858055964016,0.03954437467848562,0.0,0.001953125,0.0546875
esol,random,mae,rf_rdkit_morgan,xgb_rdkit_morgan,10,0.08136519998500483,0.07605326149365413,0.0,0.001953125,0.0546875
esol,random,r2,edge_gnn,hybrid_concat,10,-0.028531180142612755,-0.027954899112412113,2.0,0.005859375,0.076171875
esol,random,r2,edge_gnn,hybrid_gated,10,-0.028956391711189956,-0.023899337523732578,3.0,0.009765625,0.107421875
esol,random,r2,edge_gnn,mean_baseline,10,0.8979644126573545,0.8975047995864043,0.0,0.001953125,0.0546875
esol,random,r2,edge_gnn,node_gnn,10,0.0066258069532537656,0.006056997966078725,21.0,0.556640625,1.0
esol,random,r2,edge_gnn,rf_rdkit,10,-0.013640143439203056,-0.005186127056004575,7.0,0.037109375,0.296875
esol,random,r2,edge_gnn,rf_rdkit_morgan,10,0.0007517362416631701,0.0034636408389859263,21.0,0.556640625,1.0
