dataset,split_strategy,metric,model,mean,ci_low,ci_high
esol,random,rmse,hybrid_gated,0.5659583553235923,0.5164177647658967,0.6154989458812878
esol,random,mae,hybrid_concat,0.41082997271451294,0.3826974967171332,0.43896244871189266
esol,random,r2,hybrid_gated,0.9198126380940972,0.9019929620272006,0.9376323141609938
esol,scaffold,rmse,hybrid_gated,0.8590885414457397,0.793313063864693,0.9248640190267863
esol,scaffold,mae,hybrid_gated,0.665227048925753,0.6263773279083599,0.7040767699431462
esol,scaffold,r2,hybrid_gated,0.8325316060131959,0.8048540169565742,0.8602091950698175
freesolv,random,rmse,hybrid_gated,1.0648588994158685,0.9206933903041106,1.2090244085276265
freesolv,random,mae,xgb_rdkit_morgan,0.656623782657777,0.5672396540454271,0.7460079112701269
freesolv,random,r2,hybrid_gated,0.9221132718453238,0.9049847225769392,0.9392418211137084
freesolv,scaffold,rmse,hybrid_concat,1.5893144285211414,1.399292011160767,1.7793368458815157
freesolv,scaffold,mae,hybrid_concat,1.2023864963114304,1.0662978185000354,1.3384751741228254
freesolv,scaffold,r2,hybrid_concat,0.8050417702598143,0.753374965642171,0.8567085748774576
lipophilicity,random,rmse,edge_gnn,0.6185197031385876,0.5686066262725413,0.6684327800046339
lipophilicity,random,mae,edge_gnn,0.4412070551717937,0.42475170353576736,0.45766240680782005
lipophilicity,random,r2,hybrid_gated,0.7335439504503773,0.7026399338859972,0.7644479670147575
lipophilicity,scaffold,rmse,edge_gnn,0.6821891188403406,0.6721256047683435,0.6922526329123377
lipophilicity,scaffold,mae,edge_gnn,0.5164694740417002,0.5085975128515615,0.5243414352318388
lipophilicity,scaffold,r2,edge_gnn,0.6648067904602113,0.6530939043830124,0.6765196765374102
