dataset,split_strategy,feature,n_retained,n_runs,retention_fraction
esol,random,AvgIpc,10,10,1.0
esol,random,BCUT2D_CHGHI,10,10,1.0
esol,random,BCUT2D_CHGLO,10,10,1.0
esol,random,BCUT2D_LOGPHI,10,10,1.0
esol,random,BCUT2D_LOGPLOW,10,10,1.0
esol,random,BCUT2D_MRHI,10,10,1.0
esol,random,BCUT2D_MRLOW,10,10,1.0
esol,random,BCUT2D_MWHI,10,10,1.0
esol,random,BCUT2D_MWLOW,10,10,1.0
esol,random,BalabanJ,10,10,1.0
esol,random,BertzCT,10,10,1.0
esol,random,Chi3v,5,10,0.5
esol,random,EState_VSA1,10,10,1.0
esol,random,EState_VSA10,10,10,1.0
esol,random,EState_VSA11,10,10,1.0
esol,random,EState_VSA2,10,10,1.0
esol,random,EState_VSA3,10,10,1.0
esol,random,EState_VSA4,10,10,1.0
esol,random,EState_VSA5,10,10,1.0
esol,random,EState_VSA6,10,10,1.0
esol,random,EState_VSA7,10,10,1.0
esol,random,EState_VSA8,10,10,1.0
esol,random,EState_VSA9,10,10,1.0
esol,random,FpDensityMorgan1,10,10,1.0
esol,random,FpDensityMorgan2,10,10,1.0
esol,random,FpDensityMorgan3,10,10,1.0
esol,random,FractionCSP3,10,10,1.0
esol,random,HallKierAlpha,10,10,1.0
esol,random,Ipc,10,10,1.0
esol,random,Kappa2,10,10,1.0
esol,random,Kappa3,10,10,1.0
esol,random,MaxAbsEStateIndex,10,10,1.0
esol,random,MaxPartialCharge,10,10,1.0
esol,random,MinAbsEStateIndex,10,10,1.0
esol,random,MinEStateIndex,10,10,1.0
esol,random,MinPartialCharge,10,10,1.0
esol,random,MolLogP,10,10,1.0
esol,random,MolWt,10,10,1.0
esol,random,NHOHCount,10,10,1.0
esol,random,NumAliphaticCarbocycles,10,10,1.0
esol,random,NumAliphaticHeterocycles,10,10,1.0
esol,random,NumAliphaticRings,10,10,1.0
esol,random,NumAmideBonds,10,10,1.0
esol,random,NumAromaticCarbocycles,10,10,1.0
esol,random,NumAromaticHeterocycles,10,10,1.0
esol,random,NumAromaticRings,10,10,1.0
esol,random,NumAtomStereoCenters,10,10,1.0
esol,random,NumBridgeheadAtoms,10,10,1.0
esol,random,NumHAcceptors,10,10,1.0
esol,random,NumHeteroatoms,10,10,1.0
esol,random,NumHeterocycles,10,10,1.0
esol,random,NumRotatableBonds,10,10,1.0
esol,random,NumSaturatedCarbocycles,4,10,0.4
esol,random,NumSaturatedHeterocycles,10,10,1.0
esol,random,NumSaturatedRings,10,10,1.0
esol,random,NumSpiroAtoms,10,10,1.0
esol,random,NumValenceElectrons,10,10,1.0
esol,random,PEOE_VSA1,10,10,1.0
esol,random,PEOE_VSA10,10,10,1.0
esol,random,PEOE_VSA11,10,10,1.0
esol,random,PEOE_VSA12,10,10,1.0
esol,random,PEOE_VSA13,10,10,1.0
esol,random,PEOE_VSA14,10,10,1.0
esol,random,PEOE_VSA2,10,10,1.0
esol,random,PEOE_VSA3,10,10,1.0
esol,random,PEOE_VSA4,10,10,1.0
esol,random,PEOE_VSA5,10,10,1.0
esol,random,PEOE_VSA6,10,10,1.0
esol,random,PEOE_VSA7,10,10,1.0
esol,random,PEOE_VSA8,10,10,1.0
esol,random,PEOE_VSA9,10,10,1.0
esol,random,RingCount,10,10,1.0
esol,random,SMR_VSA1,10,10,1.0
esol,random,SMR_VSA10,10,10,1.0
esol,random,SMR_VSA2,10,10,1.0
esol,random,SMR_VSA3,10,10,1.0
esol,random,SMR_VSA4,10,10,1.0
esol,random,SMR_VSA5,10,10,1.0
esol,random,SMR_VSA6,10,10,1.0
esol,random,SMR_VSA7,10,10,1.0
esol,random,SMR_VSA9,10,10,1.0
esol,random,SPS,10,10,1.0
esol,random,SlogP_VSA1,10,10,1.0
esol,random,SlogP_VSA10,10,10,1.0
esol,random,SlogP_VSA11,10,10,1.0
esol,random,SlogP_VSA12,10,10,1.0
esol,random,SlogP_VSA2,10,10,1.0
esol,random,SlogP_VSA3,10,10,1.0
esol,random,SlogP_VSA4,10,10,1.0
esol,random,SlogP_VSA5,10,10,1.0
esol,random,SlogP_VSA6,10,10,1.0
esol,random,SlogP_VSA7,10,10,1.0
esol,random,SlogP_VSA8,10,10,1.0
esol,random,TPSA,10,10,1.0
esol,random,VSA_EState1,10,10,1.0
esol,random,VSA_EState2,10,10,1.0
esol,random,VSA_EState3,10,10,1.0
esol,random,VSA_EState4,10,10,1.0
esol,random,VSA_EState5,10,10,1.0
esol,random,VSA_EState6,10,10,1.0
esol,random,VSA_EState7,10,10,1.0
esol,random,VSA_EState8,10,10,1.0
esol,random,VSA_EState9,10,10,1.0
esol,random,fr_Al_OH,10,10,1.0
esol,random,fr_ArN,10,10,1.0
esol,random,fr_Ar_N,10,10,1.0
esol,random,fr_Ar_NH,10,10,1.0
esol,random,fr_Ar_OH,10,10,1.0
esol,random,fr_C_O,10,10,1.0
esol,random,fr_C_S,10,10,1.0
esol,random,fr_HOCCN,7,10,0.7
esol,random,fr_Imine,10,10,1.0
esol,random,fr_NH0,10,10,1.0
esol,random,fr_NH1,10,10,1.0
esol,random,fr_NH2,10,10,1.0
esol,random,fr_N_O,10,10,1.0
esol,random,fr_Ndealkylation1,10,10,1.0
esol,random,fr_Ndealkylation2,8,10,0.8
esol,random,fr_SH,10,10,1.0
esol,random,fr_aldehyde,10,10,1.0
esol,random,fr_alkyl_carbamate,7,10,0.7
esol,random,fr_alkyl_halide,10,10,1.0
esol,random,fr_allylic_oxid,10,10,1.0
esol,random,fr_aniline,10,10,1.0
esol,random,fr_aryl_methyl,10,10,1.0
esol,random,fr_azo,6,10,0.6
esol,random,fr_barbitur,10,10,1.0
esol,random,fr_benzodiazepine,10,10,1.0
esol,random,fr_bicyclic,10,10,1.0
esol,random,fr_dihydropyridine,6,10,0.6
esol,random,fr_epoxide,10,10,1.0
esol,random,fr_ester,10,10,1.0
esol,random,fr_ether,10,10,1.0
esol,random,fr_furan,10,10,1.0
esol,random,fr_guanido,10,10,1.0
esol,random,fr_halogen,10,10,1.0
esol,random,fr_hdrzine,10,10,1.0
esol,random,fr_hdrzone,5,10,0.5
esol,random,fr_imidazole,10,10,1.0
esol,random,fr_imide,10,10,1.0
esol,random,fr_ketone,10,10,1.0
esol,random,fr_ketone_Topliss,10,10,1.0
esol,random,fr_lactone,10,10,1.0
esol,random,fr_methoxy,10,10,1.0
esol,random,fr_nitro,10,10,1.0
esol,random,fr_nitro_arom,1,10,0.1
esol,random,fr_nitro_arom_nonortho,10,10,1.0
esol,random,fr_oxazole,10,10,1.0
esol,random,fr_oxime,10,10,1.0
esol,random,fr_para_hydroxylation,10,10,1.0
esol,random,fr_phos_acid,10,10,1.0
esol,random,fr_piperdine,10,10,1.0
esol,random,fr_piperzine,5,10,0.5
esol,random,fr_priamide,10,10,1.0
esol,random,fr_prisulfonamd,10,10,1.0
esol,random,fr_pyridine,10,10,1.0
esol,random,fr_sulfide,10,10,1.0
esol,random,fr_sulfonamd,10,10,1.0
esol,random,fr_sulfone,10,10,1.0
esol,random,fr_term_acetylene,10,10,1.0
esol,random,fr_thiazole,10,10,1.0
esol,random,fr_thiophene,10,10,1.0
esol,random,fr_unbrch_alkane,10,10,1.0
esol,random,fr_urea,10,10,1.0
esol,random,qed,10,10,1.0
esol,scaffold,AvgIpc,10,10,1.0
esol,scaffold,BCUT2D_CHGHI,10,10,1.0
esol,scaffold,BCUT2D_CHGLO,10,10,1.0
esol,scaffold,BCUT2D_LOGPHI,10,10,1.0
esol,scaffold,BCUT2D_LOGPLOW,10,10,1.0
esol,scaffold,BCUT2D_MRHI,10,10,1.0
esol,scaffold,BCUT2D_MRLOW,10,10,1.0
esol,scaffold,BCUT2D_MWHI,10,10,1.0
esol,scaffold,BCUT2D_MWLOW,10,10,1.0
esol,scaffold,BalabanJ,10,10,1.0
esol,scaffold,BertzCT,10,10,1.0
esol,scaffold,Chi2v,7,10,0.7
esol,scaffold,Chi3v,8,10,0.8
esol,scaffold,EState_VSA1,10,10,1.0
esol,scaffold,EState_VSA10,10,10,1.0
esol,scaffold,EState_VSA11,10,10,1.0
esol,scaffold,EState_VSA2,10,10,1.0
esol,scaffold,EState_VSA3,10,10,1.0
esol,scaffold,EState_VSA4,10,10,1.0
esol,scaffold,EState_VSA5,10,10,1.0
esol,scaffold,EState_VSA6,10,10,1.0
esol,scaffold,EState_VSA7,10,10,1.0
esol,scaffold,EState_VSA8,10,10,1.0
esol,scaffold,EState_VSA9,10,10,1.0
esol,scaffold,FpDensityMorgan1,10,10,1.0
esol,scaffold,FpDensityMorgan2,10,10,1.0
esol,scaffold,FpDensityMorgan3,10,10,1.0
esol,scaffold,FractionCSP3,10,10,1.0
esol,scaffold,HallKierAlpha,10,10,1.0
esol,scaffold,Ipc,10,10,1.0
esol,scaffold,Kappa2,10,10,1.0
esol,scaffold,Kappa3,10,10,1.0
esol,scaffold,MaxAbsEStateIndex,10,10,1.0
esol,scaffold,MaxPartialCharge,10,10,1.0
esol,scaffold,MinAbsEStateIndex,10,10,1.0
esol,scaffold,MinEStateIndex,10,10,1.0
esol,scaffold,MinPartialCharge,10,10,1.0
esol,scaffold,MolLogP,10,10,1.0
esol,scaffold,MolWt,10,10,1.0
esol,scaffold,NHOHCount,10,10,1.0
esol,scaffold,NumAliphaticCarbocycles,10,10,1.0
esol,scaffold,NumAliphaticHeterocycles,10,10,1.0
esol,scaffold,NumAliphaticRings,10,10,1.0
esol,scaffold,NumAmideBonds,10,10,1.0
esol,scaffold,NumAromaticCarbocycles,10,10,1.0
esol,scaffold,NumAromaticHeterocycles,10,10,1.0
esol,scaffold,NumAromaticRings,10,10,1.0
esol,scaffold,NumAtomStereoCenters,10,10,1.0
esol,scaffold,NumBridgeheadAtoms,10,10,1.0
esol,scaffold,NumHAcceptors,10,10,1.0
esol,scaffold,NumHeteroatoms,10,10,1.0
esol,scaffold,NumHeterocycles,10,10,1.0
esol,scaffold,NumRotatableBonds,10,10,1.0
esol,scaffold,NumSaturatedHeterocycles,10,10,1.0
esol,scaffold,NumSaturatedRings,3,10,0.3
esol,scaffold,NumSpiroAtoms,9,10,0.9
esol,scaffold,NumValenceElectrons,10,10,1.0
esol,scaffold,PEOE_VSA1,10,10,1.0
esol,scaffold,PEOE_VSA10,10,10,1.0
esol,scaffold,PEOE_VSA11,10,10,1.0
esol,scaffold,PEOE_VSA12,10,10,1.0
esol,scaffold,PEOE_VSA13,10,10,1.0
esol,scaffold,PEOE_VSA14,10,10,1.0
esol,scaffold,PEOE_VSA2,10,10,1.0
esol,scaffold,PEOE_VSA3,10,10,1.0
esol,scaffold,PEOE_VSA4,10,10,1.0
esol,scaffold,PEOE_VSA5,10,10,1.0
esol,scaffold,PEOE_VSA6,10,10,1.0
esol,scaffold,PEOE_VSA7,10,10,1.0
esol,scaffold,PEOE_VSA8,10,10,1.0
esol,scaffold,PEOE_VSA9,10,10,1.0
esol,scaffold,RingCount,10,10,1.0
esol,scaffold,SMR_VSA1,10,10,1.0
esol,scaffold,SMR_VSA10,10,10,1.0
esol,scaffold,SMR_VSA2,10,10,1.0
esol,scaffold,SMR_VSA3,10,10,1.0
esol,scaffold,SMR_VSA4,10,10,1.0
esol,scaffold,SMR_VSA5,10,10,1.0
esol,scaffold,SMR_VSA6,10,10,1.0
esol,scaffold,SMR_VSA7,10,10,1.0
esol,scaffold,SMR_VSA9,10,10,1.0
esol,scaffold,SPS,10,10,1.0
esol,scaffold,SlogP_VSA1,10,10,1.0
esol,scaffold,SlogP_VSA10,10,10,1.0
esol,scaffold,SlogP_VSA11,10,10,1.0
esol,scaffold,SlogP_VSA12,10,10,1.0
esol,scaffold,SlogP_VSA2,10,10,1.0
esol,scaffold,SlogP_VSA3,10,10,1.0
esol,scaffold,SlogP_VSA4,10,10,1.0
esol,scaffold,SlogP_VSA5,4,10,0.4
esol,scaffold,SlogP_VSA6,10,10,1.0
esol,scaffold,SlogP_VSA7,10,10,1.0
esol,scaffold,SlogP_VSA8,10,10,1.0
esol,scaffold,TPSA,10,10,1.0
esol,scaffold,VSA_EState1,10,10,1.0
esol,scaffold,VSA_EState10,6,10,0.6
esol,scaffold,VSA_EState2,10,10,1.0
esol,scaffold,VSA_EState3,10,10,1.0
esol,scaffold,VSA_EState4,10,10,1.0
esol,scaffold,VSA_EState5,10,10,1.0
esol,scaffold,VSA_EState6,10,10,1.0
esol,scaffold,VSA_EState7,10,10,1.0
esol,scaffold,VSA_EState8,10,10,1.0
esol,scaffold,VSA_EState9,10,10,1.0
esol,scaffold,fr_Al_OH,10,10,1.0
esol,scaffold,fr_Al_OH_noTert,1,10,0.1
esol,scaffold,fr_ArN,10,10,1.0
esol,scaffold,fr_Ar_N,9,10,0.9
esol,scaffold,fr_Ar_NH,10,10,1.0
esol,scaffold,fr_Ar_OH,10,10,1.0
esol,scaffold,fr_C_O,10,10,1.0
esol,scaffold,fr_C_S,10,10,1.0
esol,scaffold,fr_HOCCN,3,10,0.3
esol,scaffold,fr_Imine,10,10,1.0
esol,scaffold,fr_NH0,10,10,1.0
esol,scaffold,fr_NH1,10,10,1.0
esol,scaffold,fr_NH2,10,10,1.0
esol,scaffold,fr_N_O,10,10,1.0
esol,scaffold,fr_Ndealkylation1,10,10,1.0
esol,scaffold,fr_Ndealkylation2,2,10,0.2
esol,scaffold,fr_SH,10,10,1.0
esol,scaffold,fr_aldehyde,10,10,1.0
esol,scaffold,fr_alkyl_carbamate,3,10,0.3
esol,scaffold,fr_alkyl_halide,10,10,1.0
esol,scaffold,fr_allylic_oxid,10,10,1.0
esol,scaffold,fr_aniline,10,10,1.0
esol,scaffold,fr_aryl_methyl,10,10,1.0
esol,scaffold,fr_azo,2,10,0.2
esol,scaffold,fr_barbitur,10,10,1.0
esol,scaffold,fr_benzodiazepine,9,10,0.9
esol,scaffold,fr_bicyclic,10,10,1.0
esol,scaffold,fr_dihydropyridine,3,10,0.3
esol,scaffold,fr_epoxide,6,10,0.6
esol,scaffold,fr_ester,10,10,1.0
esol,scaffold,fr_ether,10,10,1.0
esol,scaffold,fr_furan,7,10,0.7
esol,scaffold,fr_guanido,10,10,1.0
esol,scaffold,fr_halogen,10,10,1.0
esol,scaffold,fr_hdrzine,10,10,1.0
esol,scaffold,fr_hdrzone,2,10,0.2
esol,scaffold,fr_imidazole,10,10,1.0
esol,scaffold,fr_imide,7,10,0.7
esol,scaffold,fr_ketone,10,10,1.0
esol,scaffold,fr_ketone_Topliss,10,10,1.0
esol,scaffold,fr_lactone,7,10,0.7
esol,scaffold,fr_methoxy,10,10,1.0
esol,scaffold,fr_nitro,10,10,1.0
esol,scaffold,fr_nitro_arom_nonortho,10,10,1.0
esol,scaffold,fr_oxazole,6,10,0.6
esol,scaffold,fr_oxime,10,10,1.0
esol,scaffold,fr_para_hydroxylation,10,10,1.0
esol,scaffold,fr_phos_acid,10,10,1.0
esol,scaffold,fr_piperdine,10,10,1.0
esol,scaffold,fr_piperzine,4,10,0.4
esol,scaffold,fr_priamide,10,10,1.0
esol,scaffold,fr_prisulfonamd,10,10,1.0
esol,scaffold,fr_pyridine,10,10,1.0
esol,scaffold,fr_sulfide,10,10,1.0
esol,scaffold,fr_sulfonamd,10,10,1.0
esol,scaffold,fr_sulfone,10,10,1.0
esol,scaffold,fr_term_acetylene,10,10,1.0
esol,scaffold,fr_thiazole,9,10,0.9
esol,scaffold,fr_thiophene,6,10,0.6
esol,scaffold,fr_unbrch_alkane,10,10,1.0
esol,scaffold,fr_urea,10,10,1.0
esol,scaffold,qed,10,10,1.0
freesolv,random,AvgIpc,10,10,1.0
freesolv,random,BCUT2D_CHGHI,10,10,1.0
freesolv,random,BCUT2D_CHGLO,10,10,1.0
freesolv,random,BCUT2D_LOGPHI,10,10,1.0
freesolv,random,BCUT2D_LOGPLOW,10,10,1.0
