dataset,split_strategy,model,n_features_mean,n_features_std,n_features_min,n_features_max,n_rdkit_features_mean,n_rdkit_features_std,n_rdkit_features_min,n_rdkit_features_max,n_morgan_features_mean,n_morgan_features_std,n_morgan_features_min,n_morgan_features_max
esol,random,rf_rdkit,160.4,1.0749676997731388,158,161,160.4,1.0749676997731388,158,161,0.0,0.0,0,0
esol,random,rf_rdkit_morgan,2208.4,1.0749676997730968,2206,2209,160.4,1.0749676997731388,158,161,2048.0,0.0,2048,2048
esol,scaffold,rf_rdkit,155.3,2.4060109910158127,150,158,155.3,2.4060109910158127,150,158,0.0,0.0,0,0
esol,scaffold,rf_rdkit_morgan,2203.3,2.4060109910158167,2198,2206,155.3,2.4060109910158127,150,158,2048.0,0.0,2048,2048
freesolv,random,rf_rdkit,154.2,1.6865480854231378,151,157,154.2,1.6865480854231378,151,157,0.0,0.0,0,0
freesolv,random,rf_rdkit_morgan,2202.2,1.6865480854230994,2199,2205,154.2,1.6865480854231378,151,157,2048.0,0.0,2048,2048
freesolv,scaffold,rf_rdkit,134.0,0.0,134,134,134.0,0.0,134,134,0.0,0.0,0,0
freesolv,scaffold,rf_rdkit_morgan,2182.0,0.0,2182,2182,134.0,0.0,134,134,2048.0,0.0,2048,2048
lipophilicity,random,rf_rdkit,174.5,0.9718253158075517,173,176,174.5,0.9718253158075517,173,176,0.0,0.0,0,0
lipophilicity,random,rf_rdkit_morgan,2222.5,0.971825315807563,2221,2224,174.5,0.9718253158075517,173,176,2048.0,0.0,2048,2048
lipophilicity,scaffold,rf_rdkit,172.7,1.251665557034572,171,175,172.7,1.251665557034572,171,175,0.0,0.0,0,0
lipophilicity,scaffold,rf_rdkit_morgan,2220.7,1.2516655570345707,2219,2223,172.7,1.251665557034572,171,175,2048.0,0.0,2048,2048
