dataset,split_strategy,model,n_seeds,target_coverage,coverage_mean,coverage_std,coverage_ci_low,coverage_ci_high,coverage_gap,width_mean,width_std,width_ci_low,width_ci_high
esol,random,edge_gnn,10,0.9,0.9117117117117118,0.03172399434533156,0.8890177332712439,0.9344056901521798,0.011711711711711814,2.3212633625852384,0.2510928791667936,2.1416423374287765,2.5008843877417
esol,random,hybrid_concat,10,0.9,0.9135135135135135,0.03682813145166582,0.8871682553449179,0.9398587716821091,0.013513513513513487,1.9941418901037948,0.1938849128742346,1.8554449787122635,2.132838801495326
esol,random,hybrid_gated,10,0.9,0.9225225225225226,0.04597635846007122,0.8896330169859152,0.9554120280591301,0.022522522522522626,2.085771175572443,0.22956633988981562,1.921549308949797,2.249993042195089
esol,random,mean_baseline,10,0.9,0.9261261261261261,0.03085941760640271,0.9040506286266078,0.9482016236256444,0.02612612612612608,7.33799157407554,0.5778563267884215,6.924618060038387,7.751365088112692
esol,random,node_gnn,10,0.9,0.9036036036036037,0.04575023579246405,0.8708758564788696,0.9363313507283378,0.003603603603603678,2.388173138014177,0.16159691106861013,2.2725736716948632,2.503772604333491
esol,random,rf_rdkit,10,0.9,0.9117117117117118,0.03026931692097093,0.8900583468127455,0.9333650766106781,0.011711711711711814,2.1728275802761323,0.2456925578641407,1.9970697122580794,2.3485854482941853
esol,random,rf_rdkit_morgan,10,0.9,0.9063063063063064,0.030976088788534854,0.8841473472709199,0.9284652653416928,0.006306306306306353,2.2903296368554282,0.23379500363030936,2.1230827664229173,2.457576507287939
esol,random,xgb_rdkit_morgan,10,0.9,0.9135135135135135,0.037072190659485804,0.886993665905134,0.9400333611218931,0.013513513513513487,2.03703425806251,0.1974781657919947,1.8957668883812961,2.1783016277437235
esol,scaffold,edge_gnn,10,0.9,0.8837837837837839,0.03218961488495285,0.8607567204747277,0.90681084709284,-0.01621621621621616,3.8223029130168626,0.48574752065986887,3.4748200695461113,4.169785756487614
esol,scaffold,hybrid_concat,10,0.9,0.9108108108108108,0.03539214538999664,0.8854927951883333,0.9361288264332883,0.010810810810810811,2.979486720671732,0.30448850555989615,2.7616687654253913,3.197304675918073
esol,scaffold,hybrid_gated,10,0.9,0.9045045045045044,0.03755555123330565,0.8776388815715602,0.9313701274374485,0.0045045045045043475,2.9024369578274416,0.3861405279592534,2.626208664469806,3.1786652511850773
esol,scaffold,mean_baseline,10,0.9,0.9135135135135135,0.02624837643653112,0.8947365561586593,0.9322904708683677,0.013513513513513487,8.078466584212851,0.26557259521717413,7.888487394183,8.268445774242702
esol,scaffold,node_gnn,10,0.9,0.890990990990991,0.04016621760570021,0.8622578098393229,0.9197241721426591,-0.009009009009009028,3.937686658741523,0.5270742469551783,3.560640456213532,4.314732861269514
esol,scaffold,rf_rdkit,10,0.9,0.8882882882882883,0.049925771629118106,0.8525735427666019,0.9240030338099747,-0.011711711711711703,3.2074283806122836,0.3779161134869496,2.9370834789451212,3.477773282279446
esol,scaffold,rf_rdkit_morgan,10,0.9,0.8891891891891891,0.03654544847225539,0.8630461502421202,0.915332228136258,-0.010810810810810922,3.5434521633647407,0.2976590883118551,3.3305196789106617,3.7563846478188196
esol,scaffold,xgb_rdkit_morgan,10,0.9,0.9027027027027026,0.03598595118064925,0.8769599040070659,0.9284455013983393,0.002702702702702564,2.984362314055854,0.1922758502746009,2.8468164567071383,3.12190817140457
freesolv,random,edge_gnn,10,0.9,0.9328125,0.04360715768528016,0.9016178185993123,0.9640071814006878,0.03281250000000002,4.57478105768164,0.9211899500650681,3.915801465175539,5.23376065018774
freesolv,random,hybrid_concat,10,0.9,0.9234375,0.058207639878952125,0.8817982628313094,0.9650767371686907,0.0234375,4.065392181700148,0.875799348292997,3.4388830696386656,4.691901293761632
freesolv,random,hybrid_gated,10,0.9,0.9125,0.05166498653182185,0.8755410950866667,0.9494589049133333,0.012499999999999956,3.7599293965018874,0.9417478771177754,3.086243548905828,4.433615244097947
