dataset,split_strategy,metric,contrast,seed,model_a,model_b,value_a,value_b,difference_a_minus_b
esol,random,rmse,edge_vs_node,2026,edge_gnn,node_gnn,0.7394566393540564,0.7064190761235682,0.03303756323048812
esol,random,rmse,edge_vs_node,2027,edge_gnn,node_gnn,0.8218519615136041,0.8992211994745921,-0.07736923796098805
esol,random,rmse,edge_vs_node,2028,edge_gnn,node_gnn,0.6651326477158855,0.6926083459664959,-0.02747569825061036
esol,random,rmse,edge_vs_node,2029,edge_gnn,node_gnn,0.6305880326885464,0.6735342573879101,-0.04294622469936371
esol,random,rmse,edge_vs_node,2030,edge_gnn,node_gnn,0.5532165506057927,0.6222069178025926,-0.06899036719679996
esol,random,rmse,edge_vs_node,2031,edge_gnn,node_gnn,0.7048740901189829,0.662017164030027,0.04285692608895597
esol,random,rmse,edge_vs_node,2032,edge_gnn,node_gnn,0.5927733609111977,0.6529547202927197,-0.060181359381522026
esol,random,rmse,edge_vs_node,2033,edge_gnn,node_gnn,0.6907529395655422,0.7423204115479108,-0.05156747198236866
esol,random,rmse,edge_vs_node,2034,edge_gnn,node_gnn,0.613856615005936,0.6382972921133192,-0.02444067710738318
esol,random,rmse,edge_vs_node,2035,edge_gnn,node_gnn,0.7238257096331673,0.760833922166033,-0.03700821253286568
esol,random,rmse,concat_vs_edge,2026,hybrid_concat,edge_gnn,0.6684549945023494,0.7394566393540564,-0.07100164485170701
esol,random,rmse,concat_vs_edge,2027,hybrid_concat,edge_gnn,0.6904008861542307,0.8218519615136041,-0.1314510753593734
esol,random,rmse,concat_vs_edge,2028,hybrid_concat,edge_gnn,0.5485919120469754,0.6651326477158855,-0.1165407356689101
esol,random,rmse,concat_vs_edge,2029,hybrid_concat,edge_gnn,0.5643382604504428,0.6305880326885464,-0.06624977223810358
esol,random,rmse,concat_vs_edge,2030,hybrid_concat,edge_gnn,0.5456180685039069,0.5532165506057927,-0.00759848210188574
esol,random,rmse,concat_vs_edge,2031,hybrid_concat,edge_gnn,0.5072137551116098,0.7048740901189829,-0.19766033500737312
esol,random,rmse,concat_vs_edge,2032,hybrid_concat,edge_gnn,0.5465325853320018,0.5927733609111977,-0.046240775579195925
esol,random,rmse,concat_vs_edge,2033,hybrid_concat,edge_gnn,0.5006250121764393,0.6907529395655422,-0.1901279273891029
esol,random,rmse,concat_vs_edge,2034,hybrid_concat,edge_gnn,0.5997088091795717,0.613856615005936,-0.014147805826364324
esol,random,rmse,concat_vs_edge,2035,hybrid_concat,edge_gnn,0.5626899938648791,0.7238257096331673,-0.16113571576828822
esol,random,rmse,gated_vs_concat,2026,hybrid_gated,hybrid_concat,0.6672985628756721,0.6684549945023494,-0.0011564316266772234
esol,random,rmse,gated_vs_concat,2027,hybrid_gated,hybrid_concat,0.6807535553645468,0.6904008861542307,-0.009647330789683828
esol,random,rmse,gated_vs_concat,2028,hybrid_gated,hybrid_concat,0.5463268494239095,0.5485919120469754,-0.0022650626230659165
esol,random,rmse,gated_vs_concat,2029,hybrid_gated,hybrid_concat,0.5830039384595955,0.5643382604504428,0.018665678009152753
esol,random,rmse,gated_vs_concat,2030,hybrid_gated,hybrid_concat,0.5336037699651436,0.5456180685039069,-0.012014298538763346
esol,random,rmse,gated_vs_concat,2031,hybrid_gated,hybrid_concat,0.5388726231950984,0.5072137551116098,0.03165886808348861
esol,random,rmse,gated_vs_concat,2032,hybrid_gated,hybrid_concat,0.4714832880456703,0.5465325853320018,-0.07504929728633147
esol,random,rmse,gated_vs_concat,2033,hybrid_gated,hybrid_concat,0.4791594386188558,0.5006250121764393,-0.021465573557583495
esol,random,rmse,gated_vs_concat,2034,hybrid_gated,hybrid_concat,0.5648603087654781,0.5997088091795717,-0.0348485004140936
esol,random,rmse,gated_vs_concat,2035,hybrid_gated,hybrid_concat,0.5942212185219515,0.5626899938648791,0.031531224657072476
esol,random,rmse,morgan_vs_rdkit_rf,2026,rf_rdkit_morgan,rf_rdkit,0.7298808957903175,0.7102055141276581,0.019675381662659364
esol,random,rmse,morgan_vs_rdkit_rf,2027,rf_rdkit_morgan,rf_rdkit,0.8215895685180178,0.7494647220690153,0.07212484644900252
esol,random,rmse,morgan_vs_rdkit_rf,2028,rf_rdkit_morgan,rf_rdkit,0.667320819387682,0.6240934890477614,0.043227330339920544
esol,random,rmse,morgan_vs_rdkit_rf,2029,rf_rdkit_morgan,rf_rdkit,0.641650524463755,0.6094003545450628,0.03225016991869223
esol,random,rmse,morgan_vs_rdkit_rf,2030,rf_rdkit_morgan,rf_rdkit,0.5859548917570612,0.5637066054072947,0.0222482863497665
esol,random,rmse,morgan_vs_rdkit_rf,2031,rf_rdkit_morgan,rf_rdkit,0.7237313424253332,0.6585678454488769,0.06516349697645629
esol,random,rmse,morgan_vs_rdkit_rf,2032,rf_rdkit_morgan,rf_rdkit,0.6530935086377171,0.5933346288219854,0.05975887981573169
esol,random,rmse,morgan_vs_rdkit_rf,2033,rf_rdkit_morgan,rf_rdkit,0.5624460714872077,0.545081665718143,0.017364405769064728
esol,random,rmse,morgan_vs_rdkit_rf,2034,rf_rdkit_morgan,rf_rdkit,0.7627470124540152,0.6867956601873945,0.07595135226662075
esol,random,rmse,morgan_vs_rdkit_rf,2035,rf_rdkit_morgan,rf_rdkit,0.761388478344816,0.7162754386035044,0.045113039741311645
esol,random,rmse,xgb_vs_rf_morgan,2026,xgb_rdkit_morgan,rf_rdkit_morgan,0.694629160026562,0.7298808957903175,-0.0352517357637554
esol,random,rmse,xgb_vs_rf_morgan,2027,xgb_rdkit_morgan,rf_rdkit_morgan,0.6824277267543761,0.8215895685180178,-0.13916184176364166
esol,random,rmse,xgb_vs_rf_morgan,2028,xgb_rdkit_morgan,rf_rdkit_morgan,0.6622397312465057,0.667320819387682,-0.005081088141176249
esol,random,rmse,xgb_vs_rf_morgan,2029,xgb_rdkit_morgan,rf_rdkit_morgan,0.5440597871863748,0.641650524463755,-0.09759073727738021
esol,random,rmse,xgb_vs_rf_morgan,2030,xgb_rdkit_morgan,rf_rdkit_morgan,0.508434606857676,0.5859548917570612,-0.07752028489938512
esol,random,rmse,xgb_vs_rf_morgan,2031,xgb_rdkit_morgan,rf_rdkit_morgan,0.5744594898614294,0.7237313424253332,-0.14927185256390385
esol,random,rmse,xgb_vs_rf_morgan,2032,xgb_rdkit_morgan,rf_rdkit_morgan,0.5515033737543222,0.6530935086377171,-0.10159013488339486
esol,random,rmse,xgb_vs_rf_morgan,2033,xgb_rdkit_morgan,rf_rdkit_morgan,0.4927650154841821,0.5624460714872077,-0.0696810560030256
esol,random,rmse,xgb_vs_rf_morgan,2034,xgb_rdkit_morgan,rf_rdkit_morgan,0.55751965797319,0.7627470124540152,-0.20522735448082519
