dataset,split_strategy,family_id,metric,metric_role,contrast,question,model_a,model_b,n_pairs,mean_a,mean_b,mean_delta,median_delta,ci_low,ci_high,rank_biserial,statistic,p_value,p_holm,p_corrected_t,p_corrected_t_holm,corrected_ci_low,corrected_ci_high,favors,significant_holm
esol,random,esol:random:rmse,rmse,primary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.6736328547112711,0.7050413306905169,-0.03140847597924575,-0.039977218616114696,-0.060276167660708854,-0.0025407842977826535,-0.7090909090909091,8.0,0.048828125,0.09765625,0.14870965214952403,0.29741930429904806,-0.0763955242602665,0.013578572301774984,edge_gnn,False
esol,random,esol:random:rmse,rmse,primary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.5734174277322407,0.6736328547112711,-0.10021542697903044,-0.09377119026030856,-0.14991379425445034,-0.05051705970361054,-1.0,0.0,0.001953125,0.009765625,0.016835820118347854,0.05050746035504356,-0.1776647385754573,-0.022766115382603563,hybrid_concat,True
esol,random,esol:random:rmse,rmse,primary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.5659583553235923,0.5734174277322407,-0.007459072408648504,-0.005956196706374872,-0.030503979332249152,0.015585834514952143,-0.2727272727272727,20.0,0.4921875,0.4921875,0.6496396718561792,0.6496396718561792,-0.04337196602838206,0.028453821211085053,hybrid_gated,False
esol,random,esol:random:rmse,rmse,primary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.6909803113265923,0.6456925923976697,0.045287718928922624,0.044170185040616095,0.029460299484579015,0.06111513837326624,1.0,0.0,0.001953125,0.009765625,0.002471361169841947,0.012356805849209736,0.020622467180932337,0.06995297067691292,rf_rdkit,True
esol,random,esol:random:rmse,rmse,primary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.5896256050960091,0.6909803113265923,-0.1013547062305831,-0.09959043608038753,-0.1431695929980909,-0.0595398194630753,-1.0,0.0,0.001953125,0.009765625,0.006530580629858747,0.026122322519434988,-0.16651850078098782,-0.03619091168017838,xgb_rdkit_morgan,True
esol,random,esol:random:mae,mae,primary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.5054689787345142,0.5288145500356469,-0.02334557130113264,-0.028534840873702144,-0.04256818367268851,-0.004122958929576769,-0.7818181818181819,6.0,0.02734375,0.0546875,0.11174204897595538,0.22348409795191077,-0.053301849080066625,0.006610706477801348,edge_gnn,False
esol,random,esol:random:mae,mae,primary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.41082997271451294,0.5054689787345142,-0.09463900602000141,-0.08869696380996245,-0.12931925736787345,-0.05995875467212939,-1.0,0.0,0.001953125,0.009765625,0.0032978897640717772,0.010975134688403358,-0.14868427430816472,-0.0405937377318381,hybrid_concat,True
esol,random,esol:random:mae,mae,primary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.411272576581469,0.41082997271451294,0.00044260386695613716,-0.0024051795912742313,-0.01834430407373052,0.019229511807642798,0.01818181818181818,27.0,1.0,1.0,0.9734653126075753,0.9734653126075753,-0.02883467759720307,0.02971988533111535,hybrid_concat,False
esol,random,esol:random:mae,mae,primary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.5088337531247555,0.4754157947724134,0.03341795835234212,0.03973414179118895,0.021799976001334674,0.04503594070334956,1.0,0.0,0.001953125,0.009765625,0.002392416083525003,0.010975134688403358,0.015312640520905134,0.0515232761837791,rf_rdkit,True
esol,random,esol:random:mae,mae,primary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.427479477086243,0.5088337531247555,-0.08135427603851252,-0.07609588481164764,-0.10924895171275822,-0.05345960036426681,-1.0,0.0,0.001953125,0.009765625,0.0021950269376806715,0.010975134688403358,-0.1248249883901523,-0.03788356368687274,xgb_rdkit_morgan,True
